filename	method	genomes	kmers	bytes	compr_lines
recompressed_00001650.repair	repair	1650	188125	191488	1650
recompressed_00001650.xz	xz	1650	188125	72204	1650
recompressed_00001700.bz2	bz2	1700	191065	1517261	1700
recompressed_00001700.gz	gz	1700	191065	464476	1700
recompressed_00001700.repair	repair	1700	191065	194048	1700
recompressed_00001700.xz	xz	1700	191065	73980	1700
recompressed_00001750.bz2	bz2	1750	193579	1567280	1750
recompressed_00001750.gz	gz	1750	193579	477930	1750
recompressed_00001750.repair	repair	1750	193579	197632	1750
recompressed_00001750.xz	xz	1750	193579	75952	1750
recompressed_00001800.bz2	bz2	1800	196643	1614862	1800
recompressed_00001800.gz	gz	1800	196643	491279	1800
recompressed_00001800.repair	repair	1800	196643	202752	1800
recompressed_00001800.xz	xz	1800	196643	77996	1800
recompressed_00001850.bz2	bz2	1850	199307	1649021	1850
